gene_id,A778_D0,A778_D6,A820_D0,A820_D6,A870_D0,A870_D6,A899_D0,A899_D6
ENSG00000000005.5,0,0,0,0,0,0,2,0
ENSG00000000419.12,1079,1164,521,832,1140,1437,1476,1377
ENSG00000000457.13,354,248,234,170,182,178,376,196
ENSG00000000460.16,241,327,206,227,84,314,307,266
ENSG00000000938.12,46,62,62,44,31,3,41,15
ENSG00000000971.15,72,16,4090,978,124,583,20,41
ENSG00000001036.13,906,1551,1148,1061,530,504,1797,1620
ENSG00000001084.12,985,1467,419,400,675,550,1080,728
ENSG00000001167.14,1520,1095,385,407,581,784,844,768
ENSG00000001460.17,194,218,176,173,115,125,191,182
ENSG00000001461.16,685,743,655,623,1301,1460,1098,924
ENSG00000001497.16,285,206,908,820,443,510,1094,778
ENSG00000001561.6,734,584,671,669,623,767,858,935
ENSG00000001617.11,1222,860,590,317,375,872,1209,1405
ENSG00000001626.15,19,14,15,27,31,23,94,24
ENSG00000001629.9,1775,1269,976,892,1652,1236,1825,1692
ENSG00000001630.16,87,390,202,499,156,405,129,424
ENSG00000001631.15,247,325,277,350,478,545,387,276
ENSG00000002016.17,172,253,342,409,383,443,223,370
ENSG00000002079.14,1,4,4,2,0,1,1,65
ENSG00000002330.13,481,524,254,398,512,500,606,601
ENSG00000002549.12,865,956,1612,1463,583,1117,1084,1027
ENSG00000002586.19,0,0,0,0,0,0,0,0
ENSG00000002586.19_PAR_Y,0,0,0,0,0,0,0,0
ENSG00000002587.9,43,29,100,62,15,6,23,101
ENSG00000002726.20,1418,138,833,194,652,155,680,234
ENSG00000002745.12,0,1,0,1,0,2,4,2
ENSG00000002746.14,19,35,35,8,34,22,105,51
ENSG00000002822.15,563,458,385,332,198,240,808,588
ENSG00000002834.17,4972,4943,10432,10089,2200,3058,7278,7966
ENSG00000002919.14,361,437,98,152,292,389,443,356
ENSG00000002933.8,1234,219,111,28,278,40,794,370
ENSG00000003056.7,1305,1878,1459,1882,898,1182,3286,3076
ENSG00000003096.14,14,40,28,55,0,19,28,37
ENSG00000003137.8,2005,218,3746,124,62,10,55,78
ENSG00000003147.18,699,630,166,204,257,201,831,517
ENSG00000003249.13,370,337,143,163,217,179,603,642
ENSG00000003393.14,1478,1840,553,768,511,599,938,923
ENSG00000003400.14,144,123,365,549,504,507,638,663
ENSG00000003402.19,3838,2719,1867,2632,2403,1813,2195,1624
ENSG00000003436.15,4,16,6,24,10,11,6,7
ENSG00000003509.15,375,534,205,243,319,327,401,400
ENSG00000003756.16,1155,1231,2226,2166,2061,1740,1900,1482
ENSG00000003987.13,201,150,22,16,21,34,12,10
ENSG00000003989.17,2896,5200,284,336,102,804,10,33
ENSG00000004059.10,1150,1007,673,667,1221,1211,2581,1390
ENSG00000004139.13,311,129,746,325,253,94,784,223
ENSG00000004142.11,881,899,772,795,777,1074,2371,2242
ENSG00000004399.12,1264,1136,507,763,454,565,3320,3969
ENSG00000004455.16,1478,1581,3106,3706,3629,4297,3931,3507
ENSG00000004468.12,25,41,9,8,9,10,13,35
ENSG00000004478.7,4554,3687,8075,11853,5564,4096,8511,6348
ENSG00000004487.16,1828,1302,3067,5061,2011,2329,2690,3335
ENSG00000004534.14,1423,1679,3226,3426,1205,1113,2206,2119
ENSG00000004660.14,231,97,142,81,122,41,523,107
ENSG00000004700.15,676,678,560,833,272,579,1258,1123
ENSG00000004766.16,397,442,332,475,475,595,441,332
ENSG00000004776.12,19,52,0,1,101,66,446,358
ENSG00000004777.18,202,132,156,156,377,503,1511,456
ENSG00000004779.9,590,893,479,816,822,1161,933,1230
ENSG00000004799.7,420,63,944,193,280,14,593,82
ENSG00000004809.13,1,2,0,3,1,0,0,2
ENSG00000004838.13,62,22,206,54,25,46,43,47
ENSG00000004846.16,0,0,2,0,8,8,46,2
ENSG00000004848.7,0,0,0,0,1,0,0,0
ENSG00000004864.13,887,928,788,1064,612,821,1436,773
ENSG00000004866.20,197,173,271,386,242,274,817,445
ENSG00000004897.11,886,1133,596,918,915,1392,1213,1417
ENSG00000004939.14,0,2,1,1,0,1,3,4
ENSG00000004948.14,9,10,6,2,0,0,0,6
ENSG00000004961.14,145,184,631,942,219,281,349,363
ENSG00000004975.11,805,1097,1409,2214,470,818,1680,1840
ENSG00000005001.9,1453,1491,1056,793,557,461,669,1865
ENSG00000005007.12,1515,1406,1491,1756,2133,3416,3425,3621
ENSG00000005020.12,111,155,245,329,290,441,1299,1385
ENSG00000005022.5,1548,1724,7325,9292,2527,3650,8048,7181
ENSG00000005059.15,122,109,77,140,75,120,331,317
ENSG00000005073.5,0,0,0,0,0,0,0,0
ENSG00000005075.15,310,394,368,577,448,465,825,749
ENSG00000005100.12,671,480,470,343,380,499,916,790
ENSG00000005102.12,535,1200,36,4601,3,193,137,431
ENSG00000005108.15,42,22,174,94,29,5,3,27
ENSG00000005156.11,625,450,501,598,368,355,1145,958
